"test","browser","url","score","title","description"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/licensing","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/firearms-reference-table","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/firearms-reference-table","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/need-know-the-government-canadas-new-prohibition-certain-firearms-and-devices","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/need-know-the-government-canadas-new-prohibition-certain-firearms-and-devices","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/executors-and-heirs","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/executors-and-heirs","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/locations","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/locations","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/firearms-forms","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/firearms-forms","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/classes-firearms","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/classes-firearms","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/help-us","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/help-us","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/comment-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/comment-eng.htm","0","Form elements must have labels","Ensures every form element has a label"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/comment-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr/nouvelles","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr/nouvelles","0","Checkbox inputs with the same name attribute value must be part of a group","Ensures related <input type=""checkbox""> elements have a group and that the group designation is consistent"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr/nouvelles","0","Form elements must have labels","Ensures every form element has a label"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr/nouvelles","0","Radio inputs with the same name attribute value must be part of a group","Ensures related <input type=""radio""> elements have a group and that the group designation is consistent"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr/nouvelles","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/services","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/services","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","Chrome","https://www.rcmp-grc.gc.ca/help-aide/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/help-aide/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/careers","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/careers","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-fra.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-fra.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-fra.htm","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-fra.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/beware-covid-19-fraudsters?fe&fe","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/beware-covid-19-fraudsters?fe&fe","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/beware-covid-19-fraudsters?fe&fe","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/technol/pki/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/technol/pki/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/criminal-record-checks","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/criminal-record-checks","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hr-rh/10-04-discharge-renvoi-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hr-rh/10-04-discharge-renvoi-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm","0","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/even/fr/t/2/e","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/even/fr/t/2/e","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/terms-conditions","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/terms-conditions","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/terms-conditions","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/terms-conditions","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/b-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/b-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/b-eng.htm","0","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/b-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/c-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/c-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/c-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/sosi-sbso-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/sosi-sbso-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/sosi-sbso-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/vac-acc-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/vac-acc-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/vac-acc-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/m-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/m-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/m-eng.htm","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/m-eng.htm","0","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/m-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/n-card-carte-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/n-card-carte-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/n-card-carte-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/g-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/g-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/g-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/stay-connected","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/stay-connected","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/v-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/v-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/v-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/criminal-records","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/criminal-records","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/home","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/home","0","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/gazette/home","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hr-rh/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hr-rh/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hon/honour-honneur-roll-tableau-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hon/honour-honneur-roll-tableau-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/strat-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/strat-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/strat-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/lrhr-rtdp/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/lrhr-rtdp/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hon/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/hon/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/about-rcmp","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/about-rcmp","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/transparency","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/transparency","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/lab-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/lab-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/what-is-fentanyl","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/what-is-fentanyl","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/ert-gti/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/ert-gti/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/detach/en","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/detach/en","0","Form elements must have labels","Ensures every form element has a label"
"axe","Chrome","https://www.rcmp-grc.gc.ca/detach/en","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/impacts-services-due-the-coronavirus-disease-covid-19","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/impacts-services-due-the-coronavirus-disease-covid-19","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/paop-piap-eng.htm","0","id attribute value must be unique","Ensures every id attribute value is unique"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/paop-piap-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/paop-piap-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/paop-piap-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/police-public-agency-web-services","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/police-public-agency-web-services","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/k-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/k-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/k-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/individual-web-services","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/individual-web-services","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/covid-19?fe","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/covid-19?fe","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/health-sante-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/health-sante-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/health-sante-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/ht-tp/index-eng.htm","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/ht-tp/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/privacy-and-access-information","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/privacy-and-access-information","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/count-contre/index-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/count-contre/index-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/count-contre/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/d-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/d-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/d-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/importing-and-exporting","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/importing-and-exporting","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/o-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/o-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/o-eng.htm","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/o-eng.htm","0","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
