"test","url","score","title","description"
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://www.deque.com/","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://www.deque.com/","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://www.deque.com/","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://www.deque.com/","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://www.deque.com/","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://www.deque.com/","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://www.deque.com/","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://www.deque.com/","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://www.deque.com/","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://www.deque.com/","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://www.deque.com/","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://www.deque.com/","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://youtu.be/AtsX0dPCG_4","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://youtu.be/uGXGnvGjYEo","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Manifest doesn't have a maskable icon","A maskable icon ensures that the image fills the entire shape without being letterboxed when installing the app on a device. [Learn more](https://web.dev/maskable-icon-audit/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Image elements do not have explicit `width` and `height`","Set an explicit width and height on image elements to reduce layout shifts and improve CLS. [Learn more](https://web.dev/optimize-cls/#images-without-dimensions)"
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries/)."
"lighthouse","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description/)."
"lighthouse","https://www.deque.com/accessible-design/","0","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker/)."
"lighthouse","https://www.deque.com/accessible-design/","0","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline/)."
"lighthouse","https://www.deque.com/accessible-design/","0","Reduce initial server response time","Keep the server response time for the main document short because all other requests depend on it. [Learn more](https://web.dev/time-to-first-byte/)."
"lighthouse","https://www.deque.com/accessible-design/","0","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest/)."
